iter	Passed	Remaining
610	54737	214023
611	54805	213847
612	54877	213689
613	54954	213552
614	55027	213398
615	55098	213238
616	55181	213122
617	55257	212984
618	55341	212872
619	55423	212756
620	55494	212596
621	55580	212493
622	55655	212350
623	55725	212187
624	55788	211995
625	55854	211819
626	55915	211622
627	55973	211414
628	56029	211201
629	56098	211038
630	56167	210873
631	56231	210690
632	56288	210481
633	56353	210303
634	56418	210126
635	56477	209926
636	56540	209740
637	56606	209570
638	56675	209407
639	56734	209209
640	56806	209057
641	56870	208879
642	56937	208711
643	56998	208522
644	57070	208374
645	57129	208176
646	57196	208010
647	57273	207882
648	57344	207731
649	57408	207555
650	57471	207374
651	57535	207200
652	57602	207032
653	57678	206902
654	57751	206757
655	57824	206616
656	57891	206453
657	57957	206285
658	58025	206126
659	58091	205959
660	58154	205783
661	58217	205606
662	58281	205437
663	58346	205265
664	58414	205110
665	58477	204935
666	58544	204775
667	58616	204631
668	58680	204461
669	58750	204312
670	58815	204146
671	58883	203990
672	58951	203832
673	59016	203667
674	59078	203493
675	59155	203368
676	59210	203170
677	59274	203001
678	59339	202836
679	59404	202672
680	59463	202491
681	59528	202327
682	59604	202200
683	59674	202056
684	59759	201960
685	59834	201831
686	59911	201711
687	59982	201570
688	60050	201416
689	60105	201223
690	60174	201073
691	60249	200948
692	60315	200792
693	60381	200632
694	60442	200460
695	60501	200281
696	60571	200137
697	60647	200016
698	60710	199849
699	60783	199715
700	60849	199560
701	60915	199406
702	60968	199210
703	61029	199038
704	61099	198897
705	61163	198736
706	61226	198576
707	61287	198404
708	61353	198253
709	61419	198099
710	61489	197960
711	61554	197802
712	61622	197659
713	61686	197502
714	61759	197370
715	61829	197234
716	61912	197136
717	61982	196996
718	62056	196873
719	62128	196740
720	62210	196638
721	62271	196474
722	62349	196361
723	62429	196257
724	62501	196126
725	62576	196005
726	62641	195851
727	62721	195746
728	62791	195608
729	62851	195441
730	62933	195343
731	62993	195177
732	63060	195032
733	63130	194896
734	63189	194727
735	63266	194612
736	63341	194492
737	63414	194367
738	63495	194265
739	63571	194149
740	63650	194042
741	63719	193907
742	63794	193786
743	63867	193663
744	63936	193525
745	63993	193354
746	64060	193209
747	64141	193110
748	64215	192989
749	64305	192916
750	64391	192831
751	64478	192750
752	64549	192618
753	64617	192481
754	64696	192375
755	64768	192250
756	64841	192126
757	64907	191980
758	64980	191859
759	65045	191712
760	65115	191581
761	65207	191515
762	65281	191395
763	65352	191266
764	65433	191167
765	65501	191031
766	65562	190874
767	65632	190745
768	65698	190602
769	65754	190432
770	65821	190294
771	65885	190145
772	65946	189991
773	66018	189868
774	66098	189768
775	66177	189664
776	66254	189553
777	66326	189432
778	66399	189312
779	66474	189196
780	66552	189092
781	66623	188966
782	66696	188845
783	66764	188711
784	66851	188632
785	66919	188497
786	67008	188425
787	67082	188307
788	67153	188184
789	67217	188038
790	67282	187897
791	67348	187759
792	67414	187620
793	67490	187512
794	67561	187388
795	67633	187267
796	67714	187171
797	67778	187029
798	67851	186910
799	67912	186760
800	67976	186617
801	68041	186477
802	68109	186346
803	68170	186197
804	68232	186051
805	68301	185922
806	68370	185796
807	68449	185693
808	68512	185551
809	68579	185418
810	68646	185286
811	68719	185171
812	68786	185037
813	68864	184935
814	68932	184805
815	69000	184678
816	69070	184553
817	69136	184419
818	69196	184270
819	69268	184151
820	69329	184005
821	69393	183867
822	69458	183731
823	69524	183597
824	69585	183453
825	69651	183319
826	69723	183203
827	69794	183084
828	69866	182966
829	69932	182834
830	69996	182698
831	70064	182571
832	70134	182449
833	70205	182333
834	70278	182219
835	70340	182076
836	70406	181945
837	70470	181811
838	70525	181651
839	70589	181516
840	70654	181383
841	70725	181266
842	70793	181140
843	70852	180992
844	70919	180865
845	70989	180746
846	71062	180634
847	71127	180503
848	71200	180390
849	71273	180278
850	71344	180164
851	71411	180038
852	71487	179934
853	71547	179789
854	71607	179646
855	71684	179545
856	71747	179410
857	71808	179270
858	71876	179146
859	71946	179030
860	72032	178952
861	72098	178823
862	72180	178737
863	72250	178620
864	72321	178503
865	72391	178387
866	72454	178254
867	72516	178116
868	72585	177997
869	72659	177889
870	72733	177783
871	72802	177663
872	72879	177566
873	72955	177464
874	73027	177352
875	73099	177241
876	73163	177109
877	73237	177005
878	73304	176881
879	73375	176768
880	73452	176668
881	73529	176571
882	73603	176464
883	73670	176342
884	73751	176254
885	73830	176159
886	73901	176047
887	73957	175899
888	74028	175786
889	74105	175687
890	74173	175568
891	74251	175474
892	74320	175355
893	74403	175273
894	74480	175175
895	74556	175074
896	74634	174980
897	74704	174865
898	74779	174762
899	74840	174628
900	74900	174489
901	74963	174360
902	75028	174235
903	75095	174115
904	75165	174001
905	75232	173881
906	75308	173783
907	75382	173678
908	75453	173568
909	75520	173448
910	75603	173364
911	75661	173224
912	75745	173143
913	75817	173036
914	75896	172943
915	75968	172836
916	76052	172755
917	76116	172630
918	76188	172521
919	76252	172395
920	76315	172269
921	76391	172170
922	76455	172046
923	76530	171945
924	76598	171829
925	76668	171717
926	76728	171584
927	76795	171464
928	76859	171340
929	76917	171203
930	76981	171078
931	77055	170976
932	77126	170869
933	77196	170758
934	77262	170637
935	77328	170519
936	77396	170404
937	77455	170270
938	77540	170193
939	77617	170097
940	77696	170007
941	77765	169895
942	77853	169824
943	77926	169721
944	78005	169630
945	78088	169548
946	78161	169445
947	78232	169337
948	78304	169232
949	78378	169133
950	78442	169010
951	78522	168921
952	78586	168800
953	78655	168687
954	78727	168584
955	78800	168481
956	78867	168366
957	78937	168257
958	79003	168138
959	79075	168035
960	79146	167929
961	79209	167805
962	79279	167696
963	79350	167591
964	79419	167479
965	79488	167369
966	79563	167273
967	79621	167140
968	79690	167029
969	79765	166932
970	79832	166817
971	79914	166735
972	79985	166630
973	80062	166536
974	80157	166480
975	80233	166386
976	80312	166297
977	80385	166196
978	80465	166109
979	80530	165992
980	80593	165870
981	80658	165752
982	80740	165669
983	80817	165576
